  0.1062E-04   0.4617E+02   0.9120E+02  29.583   0.6957E+01   0.1612E+00   0.000
  0.1107E-04   0.4453E+02   0.8785E+02  29.509   0.6975E+01   0.1608E+00   0.000
  0.1153E-04   0.4295E+02   0.8475E+02  29.509   0.6975E+01   0.1608E+00   0.000
  0.1202E-04   0.4142E+02   0.8175E+02  29.583   0.6957E+01   0.1612E+00   0.000
  0.1253E-04   0.3995E+02   0.7872E+02  29.098   0.6948E+01   0.1615E+00   0.000
  0.1306E-04   0.3854E+02   0.7600E+02  29.088   0.6939E+01   0.1616E+00   0.000
  0.1361E-04   0.3717E+02   0.7329E+02  28.896   0.6912E+01   0.1620E+00   0.000
  0.1419E-04   0.3585E+02   0.7059E+02  28.896   0.6912E+01   0.1620E+00   0.000
  0.1479E-04   0.3458E+02   0.6816E+02  28.823   0.6894E+01   0.1625E+00   0.000
  0.1542E-04   0.3335E+02   0.6570E+02  28.643   0.6876E+01   0.1629E+00   0.000
  0.1607E-04   0.3217E+02   0.6332E+02  28.643   0.6876E+01   0.1629E+00   0.000
  0.1675E-04   0.3103E+02   0.6112E+02  28.464   0.6858E+01   0.1633E+00   0.000
  0.1746E-04   0.2993E+02   0.5889E+02  28.464   0.6858E+01   0.1633E+00   0.000
  0.1820E-04   0.2887E+02   0.5679E+02  28.278   0.6831E+01   0.1637E+00   0.000
  0.1897E-04   0.2785E+02   0.5480E+02  28.190   0.6813E+01   0.1641E+00   0.000
  0.1977E-04   0.2686E+02   0.5279E+02  28.024   0.6804E+01   0.1644E+00   0.000
  0.2061E-04   0.2591E+02   0.5095E+02  28.016   0.6795E+01   0.1645E+00   0.000
  0.2148E-04   0.2499E+02   0.4915E+02  27.861   0.6777E+01   0.1649E+00   0.000
  0.2239E-04   0.2411E+02   0.4733E+02  27.760   0.6759E+01   0.1653E+00   0.000
  0.2333E-04   0.2326E+02   0.4571E+02  27.760   0.6759E+01   0.1653E+00   0.000
  0.2432E-04   0.2243E+02   0.4407E+02  27.568   0.6741E+01   0.1656E+00   0.000
  0.2535E-04   0.2164E+02   0.4246E+02  27.400   0.6723E+01   0.1660E+00   0.000
  0.2642E-04   0.2087E+02   0.4100E+02  27.400   0.6723E+01   0.1660E+00   0.000
  0.2754E-04   0.2014E+02   0.3952E+02  27.234   0.6705E+01   0.1664E+00   0.000
  0.2871E-04   0.1943E+02   0.3811E+02  27.153   0.6687E+01   0.1668E+00   0.000
  0.2992E-04   0.1874E+02   0.3678E+02  27.074   0.6669E+01   0.1672E+00   0.000
  0.3119E-04   0.1808E+02   0.3544E+02  27.074   0.6669E+01   0.1672E+00   0.000
  0.3251E-04   0.1744E+02   0.3419E+02  26.895   0.6660E+01   0.1675E+00   0.000
  0.3388E-04   0.1682E+02   0.3299E+02  26.817   0.6642E+01   0.1679E+00   0.000
  0.3532E-04   0.1623E+02   0.3178E+02  26.636   0.6624E+01   0.1682E+00   0.000
  0.3681E-04   0.1566E+02   0.3069E+02  26.565   0.6615E+01   0.1686E+00   0.000
  0.3837E-04   0.1511E+02   0.2960E+02  26.560   0.6606E+01   0.1686E+00   0.000
  0.3999E-04   0.1457E+02   0.2851E+02  26.486   0.6588E+01   0.1690E+00   0.000
  0.4169E-04   0.1406E+02   0.2753E+02  26.312   0.6579E+01   0.1693E+00   0.000
  0.4345E-04   0.1356E+02   0.2655E+02  26.239   0.6561E+01   0.1697E+00   0.000
  0.4529E-04   0.1309E+02   0.2559E+02  26.239   0.6561E+01   0.1697E+00   0.000
  0.4721E-04   0.1263E+02   0.2471E+02  26.064   0.6543E+01   0.1700E+00   0.000
  0.4920E-04   0.1218E+02   0.2381E+02  25.992   0.6525E+01   0.1704E+00   0.000
  0.5129E-04   0.1175E+02   0.2297E+02  25.904   0.6516E+01   0.1707E+00   0.000
  0.5346E-04   0.1134E+02   0.2217E+02  25.733   0.6498E+01   0.1710E+00   0.000
  0.5572E-04   0.1094E+02   0.2136E+02  25.664   0.6480E+01   0.1714E+00   0.000
  0.5808E-04   0.1056E+02   0.2062E+02  25.664   0.6480E+01   0.1714E+00   0.000
  0.6053E-04   0.1018E+02   0.1990E+02  25.498   0.6471E+01   0.1717E+00   0.000
  0.6310E-04   0.9826E+01   0.1916E+02  25.430   0.6453E+01   0.1721E+00   0.000
  0.6577E-04   0.9481E+01   0.1851E+02  25.344   0.6435E+01   0.1724E+00   0.000
  0.6855E-04   0.9148E+01   0.1785E+02  25.344   0.6435E+01   0.1724E+00   0.000
  0.7145E-04   0.8826E+01   0.1721E+02  25.180   0.6426E+01   0.1727E+00   0.000
  0.7447E-04   0.8517E+01   0.1662E+02  25.114   0.6408E+01   0.1731E+00   0.000
  0.7762E-04   0.8218E+01   0.1602E+02  25.033   0.6399E+01   0.1734E+00   0.000
  0.8091E-04   0.7929E+01   0.1545E+02  24.869   0.6381E+01   0.1737E+00   0.000
  0.8433E-04   0.7651E+01   0.1492E+02  24.786   0.6372E+01   0.1740E+00   0.000
  0.8790E-04   0.7383E+01   0.1438E+02  24.706   0.6354E+01   0.1743E+00   0.000
  0.9162E-04   0.7124E+01   0.1387E+02  24.644   0.6345E+01   0.1747E+00   0.000
  0.9550E-04   0.6874E+01   0.1339E+02  24.565   0.6327E+01   0.1750E+00   0.000
  0.9954E-04   0.6633E+01   0.1290E+02  24.406   0.6318E+01   0.1753E+00   0.000
  0.1038E-03   0.6401E+01   0.1246E+02  24.327   0.6300E+01   0.1756E+00   0.000
  0.1081E-03   0.6177E+01   0.1202E+02  24.248   0.6291E+01   0.1759E+00   0.000
  0.1127E-03   0.5960E+01   0.1158E+02  24.169   0.6273E+01   0.1762E+00   0.000
  0.1175E-03   0.5752E+01   0.1119E+02  24.094   0.6264E+01   0.1765E+00   0.000
  0.1225E-03   0.5551E+01   0.1079E+02  24.035   0.6255E+01   0.1769E+00   0.000
  0.1276E-03   0.5356E+01   0.1040E+02  23.961   0.6237E+01   0.1772E+00   0.000
  0.1330E-03   0.5169E+01   0.1005E+02  23.885   0.6228E+01   0.1775E+00   0.000
  0.1387E-03   0.4988E+01   0.9685E+01  23.811   0.6210E+01   0.1778E+00   0.000
  0.1445E-03   0.4814E+01   0.9345E+01  23.735   0.6201E+01   0.1781E+00   0.000
  0.1507E-03   0.4646E+01   0.9022E+01  23.585   0.6192E+01   0.1784E+00   0.000
  0.1570E-03   0.4483E+01   0.8695E+01  23.514   0.6174E+01   0.1787E+00   0.000
  0.1637E-03   0.4327E+01   0.8395E+01  23.440   0.6165E+01   0.1790E+00   0.000
  0.1706E-03   0.4176E+01   0.8102E+01  23.366   0.6156E+01   0.1793E+00   0.000
  0.1778E-03   0.4030E+01   0.7805E+01  23.297   0.6138E+01   0.1796E+00   0.000
  0.1854E-03   0.3889E+01   0.7542E+01  23.224   0.6129E+01   0.1799E+00   0.000
  0.1932E-03   0.3754E+01   0.7275E+01  23.152   0.6120E+01   0.1802E+00   0.000
  0.2014E-03   0.3623E+01   0.7013E+01  22.990   0.6093E+01   0.1807E+00   0.000
  0.2099E-03   0.3496E+01   0.6774E+01  22.919   0.6084E+01   0.1810E+00   0.000
  0.2188E-03   0.3374E+01   0.6533E+01  22.848   0.6075E+01   0.1813E+00   0.000
  0.2280E-03   0.3257E+01   0.6302E+01  22.778   0.6066E+01   0.1816E+00   0.000
  0.2377E-03   0.3143E+01   0.6086E+01  22.715   0.6048E+01   0.1819E+00   0.000
  0.2477E-03   0.3034E+01   0.5867E+01  22.646   0.6039E+01   0.1822E+00   0.000
  0.2582E-03   0.2928E+01   0.5663E+01  22.578   0.6030E+01   0.1825E+00   0.000
  0.2692E-03   0.2826E+01   0.5467E+01  22.509   0.6021E+01   0.1828E+00   0.000
  0.2805E-03   0.2728E+01   0.5268E+01  22.359   0.5994E+01   0.1833E+00   0.000
  0.2924E-03   0.2633E+01   0.5089E+01  22.292   0.5985E+01   0.1836E+00   0.000
  0.3048E-03   0.2541E+01   0.4911E+01  22.226   0.5976E+01   0.1839E+00   0.000
  0.3177E-03   0.2453E+01   0.4734E+01  22.160   0.5967E+01   0.1842E+00   0.000
  0.3311E-03   0.2368E+01   0.4574E+01  22.072   0.5958E+01   0.1844E+00   0.000
  0.3451E-03   0.2286E+01   0.4412E+01  22.016   0.5940E+01   0.1847E+00   0.000
  0.3597E-03   0.2206E+01   0.4255E+01  21.869   0.5922E+01   0.1852E+00   0.000
  0.3750E-03   0.2130E+01   0.4110E+01  21.837   0.5913E+01   0.1855E+00   0.000
  0.3908E-03   0.2056E+01   0.3964E+01  21.806   0.5904E+01   0.1858E+00   0.000
  0.4074E-03   0.1984E+01   0.3825E+01  21.744   0.5895E+01   0.1861E+00   0.000
  0.4246E-03   0.1915E+01   0.3694E+01  21.595   0.5877E+01   0.1866E+00   0.000
  0.4426E-03   0.1849E+01   0.3561E+01  21.523   0.5859E+01   0.1868E+00   0.000
  0.4613E-03   0.1785E+01   0.3439E+01  21.462   0.5850E+01   0.1871E+00   0.000
